[2014-02-14 19:29:26] Finished 1 battle, 47 sec this time, 47 sec total
[2014-02-14 19:30:21] Finished 2 battle, 50 sec this time, 102 sec total
[2014-02-14 19:31:48] Finished 3 battle, 66 sec this time, 189 sec total
[2014-02-14 19:33:08] Finished 4 battle, 68 sec this time, 269 sec total
[2014-02-14 19:34:06] Finished 5 battle, 53 sec this time, 327 sec total
[2014-02-14 19:35:02] Finished 6 battle, 51 sec this time, 383 sec total
[2014-02-14 19:36:16] Finished 7 battle, 63 sec this time, 457 sec total
[2014-02-14 19:37:22] Finished 8 battle, 59 sec this time, 523 sec total
[2014-02-14 19:38:39] Finished 9 battle, 69 sec this time, 600 sec total
[2014-02-14 19:39:39] Finished 10 battle, 55 sec this time, 660 sec total
[2014-02-14 19:40:48] Finished 11 battle, 64 sec this time, 729 sec total
[2014-02-14 19:41:58] Finished 12 battle, 63 sec this time, 799 sec total
[2014-02-14 19:43:07] Finished 13 battle, 60 sec this time, 868 sec total
[2014-02-14 19:44:11] Finished 14 battle, 59 sec this time, 932 sec total
[2014-02-14 19:45:13] Finished 15 battle, 56 sec this time, 994 sec total
[2014-02-14 19:46:15] Finished 16 battle, 55 sec this time, 1056 sec total
[2014-02-14 19:47:21] Finished 17 battle, 61 sec this time, 1122 sec total
[2014-02-14 19:48:14] Finished 18 battle, 48 sec this time, 1175 sec total
[2014-02-14 19:49:34] Finished 19 battle, 69 sec this time, 1255 sec total
[2014-02-14 19:50:32] Finished 20 battle, 46 sec this time, 1313 sec total
[2014-02-14 19:51:39] Finished 21 battle, 57 sec this time, 1380 sec total
[2014-02-14 19:53:05] Finished 22 battle, 64 sec this time, 1466 sec total
[2014-02-14 19:54:11] Finished 23 battle, 59 sec this time, 1532 sec total
[2014-02-14 19:55:24] Finished 24 battle, 62 sec this time, 1605 sec total
[2014-02-14 19:56:23] Finished 25 battle, 54 sec this time, 1664 sec total
[2014-02-14 19:57:33] Finished 26 battle, 64 sec this time, 1734 sec total
[2014-02-14 19:58:36] Finished 27 battle, 58 sec this time, 1797 sec total
[2014-02-14 19:59:49] Finished 28 battle, 68 sec this time, 1870 sec total
[2014-02-14 20:00:55] Finished 29 battle, 60 sec this time, 1936 sec total
[2014-02-14 20:02:04] Finished 30 battle, 64 sec this time, 2005 sec total
[2014-02-14 20:03:09] Finished 31 battle, 60 sec this time, 2070 sec total
[2014-02-14 20:04:03] Finished 32 battle, 48 sec this time, 2124 sec total
[2014-02-14 20:05:11] Finished 33 battle, 51 sec this time, 2192 sec total
[2014-02-14 20:20:49] Finished 1 battle, 55 sec this time, 55 sec total
[2014-02-14 20:22:11] Finished 2 battle, 71 sec this time, 137 sec total
